Христофор (Христофорович, Христофоровна)
Эдуард (Эдуардович, Эдуардовна)
Эмилий (Эмилиевич, Эмилиевна)
Эммануил (Эммануилович, Эммануиловна)
Эрнест (Эрнестович, Эрнестовна)
Юлиан (Юлианович, Юлиановна)
Юлий (Юлиевич, Юлиевна)
Юрий (Юрьевич, Юрьевна)
Яким (Якимович, Якимовна)
Яков (Яковлевич, Яковлевна)
Ярослав (Ярославович, Ярославовна)
